Country,Year,Consumption,Consumption Rate
Luxembourg,2022,14000,22.19
Luxembourg,2023,13000,18.98
Macau,2019,11000,17.32
Macau,2020,10000,15.27
Macau,2021,11000,15.51
Macau,2022,11000,15.62
Macau,2023,12000,16.83
Madagascar,2019,63000,2.29
Madagascar,2020,37000,1.32
Madagascar,2021,43000,1.49
Madagascar,2022,49000,1.65
Madagascar,2023,48000,1.54
Malawi,2019,10000,0.54
Malawi,2020,9000,0.48
Malawi,2021,9000,0.46
Malawi,2022,10000,0.5
Malawi,2023,10000,0.49
Maldives,2019,11000,20.9
Maldives,2020,9000,18.44
Maldives,2021,12000,23.44
Maldives,2022,11000,21.81
Maldives,2023,11000,20.72
Mali,2019,,
Mali,2020,9000,0.41
Mali,2021,9000,0.4
Mali,2022,8000,0.33
Mali,2023,,
Malta,2019,6000,11.71
Malta,2020,7000,13.7
Malta,2021,1000,1.38
Malta,2022,6000,11.49
Malta,2023,6000,10.96
Marshall Islands,2019,1000,15.08
Marshall Islands,2020,1000,18.29
Marshall Islands,2021,1000,19.83
Marshall Islands,2022,1000,22.33
Marshall Islands,2023,1000,23.26
Mauritania,2019,2000,0.36
Mauritania,2020,1000,0.25
Mauritania,2021,2000,0.38
Mauritania,2022,1000,0.21
Mauritania,2023,2000,0.4
Mauritius,2019,5000,3.56
Mauritius,2020,5000,3.85
Mauritius,2021,5000,3.81
Mauritius,2022,7000,5.24
Mauritius,2023,6000,4.4
Mexico,2019,75000,0.6
Mexico,2020,62000,0.49
Mexico,2021,75000,0.59
Mexico,2022,39000,0.31
Mexico,2023,107000,0.83
Micronesia,2019,1000,4.96
Micronesia,2020,,3.7
Micronesia,2021,,2.12
Micronesia,2022,,
Micronesia,2023,,3.09
Moldova,2019,21000,8.07
Moldova,2020,22000,8.46
Moldova,2021,24000,9.29
Moldova,2022,23000,8.28
Moldova,2023,25000,9.69
Mongolia,2019,21000,6.56
Mongolia,2020,20000,6.14
Mongolia,2021,24000,7.23
Mongolia,2022,35000,10.27
Mongolia,2023,10000,3
Montenegro,2019,6000,9.94
Montenegro,2020,5000,7.4
Montenegro,2021,5000,8.26
Montenegro,2022,6000,9.08
Montenegro,2023,6000,9.02
Morocco,2019,42000,1.15
Morocco,2020,39000,1.05
Morocco,2021,46000,1.23
Morocco,2022,48000,1.28
Morocco,2023,45000,1.19
Mozambique,2019,2000,0.06
Mozambique,2020,3000,0.08
Mozambique,2021,3000,0.09
Mozambique,2022,2000,0.07
Mozambique,2023,3000,0.08
Myanmar,2019,31000,0.58
Myanmar,2020,44000,0.82
Myanmar,2021,26000,0.49
Myanmar,2022,26000,0.48
Myanmar,2023,27000,0.51
Namibia,2019,8000,3.15
Namibia,2020,6000,2.41
Namibia,2021,8000,3.11
Namibia,2022,8000,2.98
Namibia,2023,7000,2.39
Nauru,2019,,0.71
Nauru,2020,,1.82
Nauru,2021,,1.26
Nauru,2022,,11.93
Nauru,2023,,1.2
Nepal,2019,2000,0.07
Nepal,2020,2000,0.06
Nepal,2021,2000,0.08
Nepal,2022,2000,0.08
Nepal,2023,2000,0.08
Netherlands,2019,113000,6.48
Netherlands,2020,102000,5.86
Netherlands,2021,106000,6.06
Netherlands,2022,125000,7.11
Netherlands,2023,72000,3.99
New Caledonia,2019,3000,11.27
New Caledonia,2020,2000,8.45
New Caledonia,2021,3000,11.7
New Caledonia,2022,3000,11.82
New Caledonia,2023,4000,12.22
New Zealand,2019,54000,10.91
New Zealand,2020,62000,12.24
New Zealand,2021,70000,13.59
New Zealand,2022,66000,12.79
New Zealand,2023,66000,12.81
Nicaragua,2019,,
Nicaragua,2020,,
Nicaragua,2021,1000,0.11
Nicaragua,2022,3000,0.38
Nicaragua,2023,2000,0.25
Niger,2019,2000,0.09
Niger,2020,3000,0.14
Niger,2021,3000,0.12
Niger,2022,3000,0.1
Niger,2023,1000,0.06
Nigeria,2019,11000,0.06
Nigeria,2020,6000,0.03
Nigeria,2021,11000,0.05
Nigeria,2022,19000,0.09
Nigeria,2023,26000,0.12
North Macedonia,2019,18000,8.72
North Macedonia,2020,19000,8.92
North Macedonia,2021,19000,9.25
North Macedonia,2022,19000,9.06
North Macedonia,2023,19000,10.13
Norway,2019,61000,11.34
Norway,2020,64000,11.9
Norway,2021,62000,11.43
Norway,2022,59000,10.95
Norway,2023,58000,10.58
Oman,2019,22000,4.69
Oman,2020,23000,4.98
Oman,2021,22000,4.78
Oman,2022,17000,3.76
Oman,2023,19000,3.8
Pakistan,2019,2000,0.01
Pakistan,2020,1000,0.01
Pakistan,2021,1000,
Pakistan,2022,3000,0.01
Pakistan,2023,2000,0.01
Panama,2019,10000,2.29
Panama,2020,8000,1.86
Panama,2021,9000,2.14
Panama,2022,15000,3.4
Panama,2023,20000,4.41
Papua New Guinea,2019,22000,2.32
Papua New Guinea,2020,24000,2.46
Papua New Guinea,2021,22000,2.23
Papua New Guinea,2022,16000,1.53
Papua New Guinea,2023,37000,3.59
Paraguay,2019,4000,0.65
Paraguay,2020,5000,0.73
Paraguay,2021,4000,0.67
Paraguay,2022,4000,0.66
Paraguay,2023,4000,0.6
Peru,2019,142000,4.31
Peru,2020,143000,4.28
Peru,2021,184000,5.44
Peru,2022,119000,3.49
Peru,2023,172000,5.09
Philippines,2019,695000,6.3
Philippines,2020,603000,5.37
Philippines,2021,663000,5.83
Philippines,2022,552000,4.78
Philippines,2023,489000,4.26
Poland,2019,79000,2.05
Poland,2020,90000,2.34
Poland,2021,91000,2.38
Poland,2022,82000,2.05
Poland,2023,83000,2.13
Portugal,2019,61000,5.89
Portugal,2020,50000,4.84
Portugal,2021,52000,5.09
Portugal,2022,52000,5.04
Portugal,2023,58000,5.6
Qatar,2019,30000,10.55
Qatar,2020,31000,11.22
Qatar,2021,30000,11.07
Qatar,2022,34000,12.54
Qatar,2023,29000,9.8
Republic of the Congo,2019,4000,0.68
Republic of the Congo,2020,4000,0.68
Republic of the Congo,2021,4000,0.66
Republic of the Congo,2022,4000,0.65
Republic of the Congo,2023,1000,0.21
Romania,2019,109000,5.6
Romania,2020,115000,5.91
Romania,2021,123000,6.38
Romania,2022,162000,8.24
Romania,2023,166000,8.68
Russia,2019,555000,3.8
Russia,2020,438000,3.01
Russia,2021,363000,2.5
Russia,2022,389000,2.69
Russia,2023,186000,1.28
Rwanda,2019,3000,0.27
Rwanda,2020,,0.02
Rwanda,2021,,0.01
Rwanda,2022,1000,0.11
Rwanda,2023,7000,0.48
Saint Kitts and Nevis,2019,,
Saint Kitts and Nevis,2020,,
Saint Kitts and Nevis,2021,,
Saint Kitts and Nevis,2022,,
Saint Kitts and Nevis,2023,,0.51
Saint Lucia,2019,1000,5.03
Saint Lucia,2020,1000,4.73
Saint Lucia,2021,,1.16
Saint Lucia,2022,,1.21
Saint Lucia,2023,,0.93
Saint Vincent and the Grenadines,2019,,
Saint Vincent and the Grenadines,2020,,2.03
Saint Vincent and the Grenadines,2021,,3.52
Saint Vincent and the Grenadines,2022,,2.98
Saint Vincent and the Grenadines,2023,,1.71
Samoa,2019,3000,14.27
Samoa,2020,2000,10.93
Samoa,2021,4000,16.18
Samoa,2022,3000,12.15
Samoa,2023,2000,8.42
Sao Tome and Principe,2019,,0.26
Sao Tome and Principe,2020,,0.16
Sao Tome and Principe,2021,,0.21
Sao Tome and Principe,2022,,0.28
Sao Tome and Principe,2023,,0.18
Saudi Arabia,2019,185000,5.16
Saudi Arabia,2020,226000,6.29
Saudi Arabia,2021,224000,6.23
Saudi Arabia,2022,175000,4.81
Saudi Arabia,2023,179000,5.39
Senegal,2019,7000,0.45
Senegal,2020,12000,0.73
Senegal,2021,12000,0.7
Senegal,2022,10000,0.56
Senegal,2023,14000,0.79
Serbia,2019,91000,12.23
Serbia,2020,95000,12.85
Serbia,2021,99000,13.54
Serbia,2022,88000,12.25
Serbia,2023,82000,12.15
Seychelles,2019,1000,6.3
Seychelles,2020,1000,6.76
Seychelles,2021,1000,6.81
Seychelles,2022,,4.06
Seychelles,2023,1000,7.73
Sierra Leone,2019,1000,0.08
Sierra Leone,2020,1000,0.09
Sierra Leone,2021,1000,0.12
Sierra Leone,2022,1000,0.07
Sierra Leone,2023,1000,0.1
Slovakia,2019,53000,9.68
Slovakia,2020,52000,9.61
Slovakia,2021,65000,11.88
Slovakia,2022,72000,12.71
Slovakia,2023,58000,10.57
Slovenia,2019,20000,9.45
Slovenia,2020,21000,9.91
Slovenia,2021,22000,10.39
Slovenia,2022,21000,9.83
Slovenia,2023,22000,10.43
Solomon Islands,2019,1000,1.92
Solomon Islands,2020,1000,1.24
Solomon Islands,2021,,
Solomon Islands,2022,,
Solomon Islands,2023,9000,11.59
Somalia,2019,1000,0.06
Somalia,2020,1000,0.07
Somalia,2021,3000,0.16
Somalia,2022,14000,0.82
Somalia,2023,,
South Africa,2019,55000,0.94
South Africa,2020,68000,1.15
South Africa,2021,123000,2.06
South Africa,2022,78000,1.29
South Africa,2023,64000,1.01
South Korea,2019,109000,2.1
South Korea,2020,115000,2.23
South Korea,2021,126000,2.44
South Korea,2022,140000,2.71
South Korea,2023,133000,2.58
South Sudan,2019,1000,0.1
South Sudan,2020,1000,0.08
South Sudan,2021,2000,0.19
South Sudan,2022,2000,0.2
South Sudan,2023,,
Spain,2019,165000,3.51
Spain,2020,137000,2.89
Spain,2021,137000,2.88
Spain,2022,164000,3.45
Spain,2023,174000,3.64
Sri Lanka,2019,5000,0.25
Sri Lanka,2020,7000,0.33
Sri Lanka,2021,6000,0.29
Sri Lanka,2022,5000,0.25
Sri Lanka,2023,5000,0.23
Sudan,2019,36000,0.82
Sudan,2020,73000,1.64
Sudan,2021,35000,0.77
Sudan,2022,62000,1.31
Sudan,2023,,
Suriname,2019,3000,4.26
Suriname,2020,4000,5.83
Suriname,2021,4000,6.36
Suriname,2022,4000,6.4
Suriname,2023,3000,5.34
Sweden,2019,135000,13.1
Sweden,2020,133000,12.8
Sweden,2021,113000,10.81
Sweden,2022,130000,12.28
Sweden,2023,115000,10.9
Switzerland,2019,79000,9.27
Switzerland,2020,58000,6.73
Switzerland,2021,57000,6.56
Switzerland,2022,64000,7.29
Switzerland,2023,57000,6.43
Syria,2019,32000,1.58
Syria,2020,34000,1.63
Syria,2021,19000,0.88
Syria,2022,17000,0.76
Syria,2023,21000,0.87
Taiwan,2019,17000,0.71
Taiwan,2020,44000,1.83
Taiwan,2021,47000,1.98
Taiwan,2022,45000,1.87
Taiwan,2023,44000,1.9
Tajikistan,2019,2000,0.22
Tajikistan,2020,2000,0.25
Tajikistan,2021,3000,0.26
Tajikistan,2022,3000,0.27
Tajikistan,2023,3000,0.3
Tanzania,2019,,
Tanzania,2020,1000,0.01
Tanzania,2021,1000,0.01
Tanzania,2022,7000,0.11
Tanzania,2023,,0.01
Thailand,2019,19000,0.26
Thailand,2020,52000,0.73
Thailand,2021,55000,0.77
Thailand,2022,55000,0.76
Thailand,2023,50000,0.69
Timor-Leste,2019,13000,9.77
Timor-Leste,2020,15000,11.49
Timor-Leste,2021,11000,8.28
Timor-Leste,2022,16000,11.63
Timor-Leste,2023,17000,12.58
Togo,2019,11000,1.27
Togo,2020,13000,1.54
Togo,2021,17000,1.98
Togo,2022,16000,1.86
Togo,2023,,
Tonga,2019,,1.34
Tonga,2020,,1.3
Tonga,2021,,1.08
Tonga,2022,,1.28
Tonga,2023,,2.49
Trinidad and Tobago,2019,7000,4.32
Trinidad and Tobago,2020,14000,8.97
Trinidad and Tobago,2021,15000,9.54
Trinidad and Tobago,2022,17000,10.9
Trinidad and Tobago,2023,6000,3.76
Tunisia,2019,42000,3.5
Tunisia,2020,33000,2.71
Tunisia,2021,44000,3.61
Tunisia,2022,41000,3.35
Tunisia,2023,23000,1.87
Turkey,2019,149000,1.78
Turkey,2020,173000,2.06
Turkey,2021,165000,1.94
Turkey,2022,148000,1.73
Turkey,2023,159000,1.82
Turkmenistan,2019,29000,4.64
Turkmenistan,2020,32000,5.17
Turkmenistan,2021,27000,4.21
Turkmenistan,2022,34000,5.3
Turkmenistan,2023,4000,0.49
Tuvalu,2019,,0.91
Tuvalu,2020,,0.73
Tuvalu,2021,,0.93
Tuvalu,2022,,1.04
Tuvalu,2023,,2.75
Uganda,2019,15000,0.34
Uganda,2020,17000,0.39
Uganda,2021,14000,0.31
Uganda,2022,15000,0.31
Uganda,2023,7000,0.15
Ukraine,2019,47000,1.05
Ukraine,2020,135000,3.08
Ukraine,2021,128000,2.94
Ukraine,2022,143000,3.59
Ukraine,2023,106000,2.81
United Arab Emirates,2019,55000,5.92
United Arab Emirates,2020,11000,1.23
United Arab Emirates,2021,15000,1.59
United Arab Emirates,2022,14000,1.51
United Arab Emirates,2023,7000,0.64
United Kingdom,2019,235000,3.52
United Kingdom,2020,297000,4.43
United Kingdom,2021,195000,2.91
United Kingdom,2022,383000,5.68
United Kingdom,2023,343000,4.99
United States,2019,1578000,4.72
United States,2020,1639000,4.88
United States,2021,1623000,4.82
United States,2022,1697000,5.02
United States,2023,1431000,4.17
Uruguay,2019,10000,2.97
Uruguay,2020,10000,3.03
Uruguay,2021,11000,3.1
Uruguay,2022,12000,3.55
Uruguay,2023,8000,2.45
Uzbekistan,2019,16000,0.48
Uzbekistan,2020,18000,0.54
Uzbekistan,2021,21000,0.62
Uzbekistan,2022,24000,0.7
Uzbekistan,2023,34000,0.97
Vanuatu,2019,1000,3.74
Vanuatu,2020,1000,2.45
Vanuatu,2021,1000,2.85
Vanuatu,2022,2000,4.67
Vanuatu,2023,1000,4.35
Venezuela,2019,55000,1.9
Venezuela,2020,57000,2
Venezuela,2021,54000,1.92
Venezuela,2022,50000,1.76
Venezuela,2023,59000,2.09
Vietnam,2019,13000,0.14
Vietnam,2020,482000,4.99
Vietnam,2021,293000,3.01
Vietnam,2022,336000,3.42
Vietnam,2023,387000,3.86
Yemen,2019,18000,0.58
Yemen,2020,20000,0.63
Yemen,2021,39000,1.18
Yemen,2022,36000,1.06
Yemen,2023,29000,0.73
Zambia,2019,4000,0.22
Zambia,2020,5000,0.28
Zambia,2021,2000,0.13
Zambia,2022,2000,0.1
Zambia,2023,1000,0.06
Zimbabwe,2019,1000,0.07
Zimbabwe,2020,1000,0.08
Zimbabwe,2021,2000,0.15
Zimbabwe,2022,2000,0.1
Zimbabwe,2023,2000,0.13
