Country,Year,Production,Type
Albania,2021/22,0,Robusta
Albania,2022/23,0,Robusta
Albania,2023/24,0,Robusta
Albania,2024/25,0,Robusta
Albania,2025/26,0,Robusta
Algeria,2021/22,0,Robusta
Algeria,2022/23,0,Robusta
Algeria,2023/24,0,Robusta
Algeria,2024/25,0,Robusta
Algeria,2025/26,0,Robusta
Angola,2021/22,30,Robusta
Angola,2022/23,20,Robusta
Angola,2023/24,30,Robusta
Angola,2024/25,45,Robusta
Angola,2025/26,50,Robusta
Argentina,2021/22,0,Robusta
Argentina,2022/23,0,Robusta
Argentina,2023/24,0,Robusta
Argentina,2024/25,0,Robusta
Argentina,2025/26,0,Robusta
Armenia,2021/22,0,Robusta
Armenia,2022/23,0,Robusta
Armenia,2023/24,0,Robusta
Armenia,2024/25,0,Robusta
Armenia,2025/26,0,Robusta
Australia,2021/22,0,Robusta
Australia,2022/23,0,Robusta
Australia,2023/24,0,Robusta
Australia,2024/25,0,Robusta
Australia,2025/26,0,Robusta
Benin,2021/22,0,Robusta
Benin,2022/23,0,Robusta
Benin,2023/24,0,Robusta
Benin,2024/25,0,Robusta
Benin,2025/26,0,Robusta
Bolivia,2021/22,0,Robusta
Bolivia,2022/23,0,Robusta
Bolivia,2023/24,0,Robusta
Bolivia,2024/25,0,Robusta
Bolivia,2025/26,0,Robusta
Bosnia and Herzegovina,2021/22,0,Robusta
Bosnia and Herzegovina,2022/23,0,Robusta
Bosnia and Herzegovina,2023/24,0,Robusta
Bosnia and Herzegovina,2024/25,0,Robusta
Bosnia and Herzegovina,2025/26,0,Robusta
Brazil,2021/22,21700,Robusta
Brazil,2022/23,22800,Robusta
Brazil,2023/24,21400,Robusta
Brazil,2024/25,21000,Robusta
Brazil,2025/26,25000,Robusta
Burundi,2021/22,0,Robusta
Burundi,2022/23,0,Robusta
Burundi,2023/24,0,Robusta
Burundi,2024/25,0,Robusta
Burundi,2025/26,0,Robusta
Cameroon,2021/22,250,Robusta
Cameroon,2022/23,220,Robusta
Cameroon,2023/24,190,Robusta
Cameroon,2024/25,180,Robusta
Cameroon,2025/26,200,Robusta
Canada,2021/22,0,Robusta
Canada,2022/23,0,Robusta
Canada,2023/24,0,Robusta
Canada,2024/25,0,Robusta
Canada,2025/26,0,Robusta
Central African Republic,2021/22,0,Robusta
Central African Republic,2022/23,0,Robusta
Central African Republic,2023/24,0,Robusta
Central African Republic,2024/25,0,Robusta
Central African Republic,2025/26,0,Robusta
Chile,2021/22,0,Robusta
Chile,2022/23,0,Robusta
Chile,2023/24,0,Robusta
Chile,2024/25,0,Robusta
Chile,2025/26,0,Robusta
China,2021/22,0,Robusta
China,2022/23,0,Robusta
China,2023/24,0,Robusta
China,2024/25,0,Robusta
China,2025/26,0,Robusta
Colombia,2021/22,0,Robusta
Colombia,2022/23,0,Robusta
Colombia,2023/24,0,Robusta
Colombia,2024/25,0,Robusta
Colombia,2025/26,0,Robusta
Congo (Brazzaville),2021/22,0,Robusta
Congo (Brazzaville),2022/23,0,Robusta
Congo (Brazzaville),2023/24,0,Robusta
Congo (Brazzaville),2024/25,0,Robusta
Congo (Brazzaville),2025/26,0,Robusta
Congo (Kinshasa),2021/22,200,Robusta
Congo (Kinshasa),2022/23,180,Robusta
Congo (Kinshasa),2023/24,150,Robusta
Congo (Kinshasa),2024/25,145,Robusta
Congo (Kinshasa),2025/26,150,Robusta
Costa Rica,2021/22,0,Robusta
Costa Rica,2022/23,0,Robusta
Costa Rica,2023/24,0,Robusta
Costa Rica,2024/25,0,Robusta
Costa Rica,2025/26,0,Robusta
Cote dchr(39)Ivoire,2021/22,1110,Robusta
Cote dchr(39)Ivoire,2022/23,1020,Robusta
Cote dchr(39)Ivoire,2023/24,1325,Robusta
Cote dchr(39)Ivoire,2024/25,650,Robusta
Cote dchr(39)Ivoire,2025/26,1300,Robusta
Croatia,2021/22,0,Robusta
Croatia,2022/23,0,Robusta
Croatia,2023/24,0,Robusta
Croatia,2024/25,0,Robusta
Croatia,2025/26,0,Robusta
Cuba,2021/22,0,Robusta
Cuba,2022/23,0,Robusta
Cuba,2023/24,0,Robusta
Cuba,2024/25,0,Robusta
Cuba,2025/26,0,Robusta
Dominican Republic,2021/22,0,Robusta
Dominican Republic,2022/23,0,Robusta
Dominican Republic,2023/24,0,Robusta
Dominican Republic,2024/25,0,Robusta
Dominican Republic,2025/26,0,Robusta
Ecuador,2021/22,170,Robusta
Ecuador,2022/23,241,Robusta
Ecuador,2023/24,250,Robusta
Ecuador,2024/25,250,Robusta
Ecuador,2025/26,250,Robusta
Egypt,2021/22,0,Robusta
Egypt,2022/23,0,Robusta
Egypt,2023/24,0,Robusta
Egypt,2024/25,0,Robusta
Egypt,2025/26,0,Robusta
El Salvador,2021/22,0,Robusta
El Salvador,2022/23,0,Robusta
El Salvador,2023/24,0,Robusta
El Salvador,2024/25,0,Robusta
El Salvador,2025/26,0,Robusta
Equatorial Guinea,2021/22,0,Robusta
Equatorial Guinea,2022/23,0,Robusta
Equatorial Guinea,2023/24,0,Robusta
Equatorial Guinea,2024/25,0,Robusta
Equatorial Guinea,2025/26,0,Robusta
Ethiopia,2021/22,0,Robusta
Ethiopia,2022/23,0,Robusta
Ethiopia,2023/24,0,Robusta
Ethiopia,2024/25,0,Robusta
Ethiopia,2025/26,0,Robusta
European Union,2021/22,0,Robusta
European Union,2022/23,0,Robusta
European Union,2023/24,0,Robusta
European Union,2024/25,0,Robusta
European Union,2025/26,0,Robusta
Gabon,2021/22,0,Robusta
Gabon,2022/23,0,Robusta
Gabon,2023/24,0,Robusta
Gabon,2024/25,0,Robusta
Gabon,2025/26,0,Robusta
Georgia,2021/22,0,Robusta
Georgia,2022/23,0,Robusta
Georgia,2023/24,0,Robusta
Georgia,2024/25,0,Robusta
Georgia,2025/26,0,Robusta
Ghana,2021/22,0,Robusta
Ghana,2022/23,0,Robusta
Ghana,2023/24,0,Robusta
Ghana,2024/25,0,Robusta
Ghana,2025/26,0,Robusta
Guatemala,2021/22,130,Robusta
Guatemala,2022/23,120,Robusta
Guatemala,2023/24,130,Robusta
Guatemala,2024/25,130,Robusta
Guatemala,2025/26,130,Robusta
Guinea,2021/22,300,Robusta
Guinea,2022/23,100,Robusta
Guinea,2023/24,190,Robusta
Guinea,2024/25,175,Robusta
Guinea,2025/26,190,Robusta
Guyana,2021/22,0,Robusta
Guyana,2022/23,0,Robusta
Guyana,2023/24,0,Robusta
Guyana,2024/25,0,Robusta
Guyana,2025/26,0,Robusta
Haiti,2021/22,0,Robusta
Haiti,2022/23,0,Robusta
Haiti,2023/24,0,Robusta
Haiti,2024/25,0,Robusta
Haiti,2025/26,0,Robusta
Honduras,2021/22,0,Robusta
Honduras,2022/23,0,Robusta
Honduras,2023/24,0,Robusta
Honduras,2024/25,0,Robusta
Honduras,2025/26,0,Robusta
India,2021/22,4117,Robusta
India,2022/23,4200,Robusta
India,2023/24,5080,Robusta
India,2024/25,4800,Robusta
India,2025/26,4700,Robusta
Indonesia,2021/22,9300,Robusta
Indonesia,2022/23,9500,Robusta
Indonesia,2023/24,6800,Robusta
Indonesia,2024/25,9300,Robusta
Indonesia,2025/26,11000,Robusta
Iran,2021/22,0,Robusta
Iran,2022/23,0,Robusta
Iran,2023/24,0,Robusta
Iran,2024/25,0,Robusta
Iran,2025/26,0,Robusta
Jamaica,2021/22,0,Robusta
Jamaica,2022/23,0,Robusta
Jamaica,2023/24,0,Robusta
Jamaica,2024/25,0,Robusta
Jamaica,2025/26,0,Robusta
Japan,2021/22,0,Robusta
Japan,2022/23,0,Robusta
Japan,2023/24,0,Robusta
Japan,2024/25,0,Robusta
Japan,2025/26,0,Robusta
Jordan,2021/22,0,Robusta
Jordan,2022/23,0,Robusta
Jordan,2023/24,0,Robusta
Jordan,2024/25,0,Robusta
Jordan,2025/26,0,Robusta
Kazakhstan,2021/22,0,Robusta
Kazakhstan,2022/23,0,Robusta
Kazakhstan,2023/24,0,Robusta
Kazakhstan,2024/25,0,Robusta
Kazakhstan,2025/26,0,Robusta
Kenya,2021/22,0,Robusta
Kenya,2022/23,0,Robusta
Kenya,2023/24,0,Robusta
Kenya,2024/25,0,Robusta
Kenya,2025/26,0,Robusta
Korea South,2021/22,0,Robusta
Korea South,2022/23,0,Robusta
Korea South,2023/24,0,Robusta
Korea South,2024/25,0,Robusta
Korea South,2025/26,0,Robusta
Kosovo,2021/22,0,Robusta
Kosovo,2022/23,0,Robusta
Kosovo,2023/24,0,Robusta
Kosovo,2024/25,0,Robusta
Kosovo,2025/26,0,Robusta
Laos,2021/22,385,Robusta
Laos,2022/23,410,Robusta
Laos,2023/24,410,Robusta
Laos,2024/25,430,Robusta
Laos,2025/26,430,Robusta
Liberia,2021/22,0,Robusta
Liberia,2022/23,0,Robusta
Liberia,2023/24,0,Robusta
Liberia,2024/25,0,Robusta
Liberia,2025/26,0,Robusta
North Macedonia,2021/22,0,Robusta
North Macedonia,2022/23,0,Robusta
North Macedonia,2023/24,0,Robusta
North Macedonia,2024/25,0,Robusta
North Macedonia,2025/26,0,Robusta
Madagascar,2021/22,275,Robusta
Madagascar,2022/23,300,Robusta
Madagascar,2023/24,275,Robusta
Madagascar,2024/25,275,Robusta
Madagascar,2025/26,275,Robusta
Malawi,2021/22,0,Robusta
Malawi,2022/23,0,Robusta
Malawi,2023/24,0,Robusta
Malawi,2024/25,0,Robusta
Malawi,2025/26,0,Robusta
Malaysia,2021/22,2000,Robusta
Malaysia,2022/23,2000,Robusta
Malaysia,2023/24,1330,Robusta
Malaysia,2024/25,1400,Robusta
Malaysia,2025/26,1500,Robusta
Mexico,2021/22,540,Robusta
Mexico,2022/23,545,Robusta
Mexico,2023/24,500,Robusta
Mexico,2024/25,340,Robusta
Mexico,2025/26,363,Robusta
Montenegro,2021/22,0,Robusta
Montenegro,2022/23,0,Robusta
Montenegro,2023/24,0,Robusta
Montenegro,2024/25,0,Robusta
Montenegro,2025/26,0,Robusta
Morocco,2021/22,0,Robusta
Morocco,2022/23,0,Robusta
Morocco,2023/24,0,Robusta
Morocco,2024/25,0,Robusta
Morocco,2025/26,0,Robusta
New Caledonia,2021/22,0,Robusta
New Caledonia,2022/23,0,Robusta
New Caledonia,2023/24,0,Robusta
New Caledonia,2024/25,0,Robusta
New Caledonia,2025/26,0,Robusta
New Zealand,2021/22,0,Robusta
New Zealand,2022/23,0,Robusta
New Zealand,2023/24,0,Robusta
New Zealand,2024/25,0,Robusta
New Zealand,2025/26,0,Robusta
Nicaragua,2021/22,120,Robusta
Nicaragua,2022/23,160,Robusta
Nicaragua,2023/24,160,Robusta
Nicaragua,2024/25,160,Robusta
Nicaragua,2025/26,160,Robusta
Nigeria,2021/22,0,Robusta
Nigeria,2022/23,0,Robusta
Nigeria,2023/24,0,Robusta
Nigeria,2024/25,0,Robusta
Nigeria,2025/26,0,Robusta
Norway,2021/22,0,Robusta
Norway,2022/23,0,Robusta
Norway,2023/24,0,Robusta
Norway,2024/25,0,Robusta
Norway,2025/26,0,Robusta
Panama,2021/22,0,Robusta
Panama,2022/23,0,Robusta
Panama,2023/24,0,Robusta
Panama,2024/25,0,Robusta
Panama,2025/26,0,Robusta
Papua New Guinea,2021/22,50,Robusta
Papua New Guinea,2022/23,50,Robusta
Papua New Guinea,2023/24,50,Robusta
Papua New Guinea,2024/25,40,Robusta
Papua New Guinea,2025/26,50,Robusta
Paraguay,2021/22,0,Robusta
Paraguay,2022/23,0,Robusta
Paraguay,2023/24,0,Robusta
Paraguay,2024/25,0,Robusta
Paraguay,2025/26,0,Robusta
Peru,2021/22,0,Robusta
Peru,2022/23,0,Robusta
Peru,2023/24,0,Robusta
Peru,2024/25,0,Robusta
Peru,2025/26,0,Robusta
Philippines,2021/22,425,Robusta
Philippines,2022/23,450,Robusta
Philippines,2023/24,425,Robusta
Philippines,2024/25,425,Robusta
Philippines,2025/26,425,Robusta
Russia,2021/22,0,Robusta
Russia,2022/23,0,Robusta
Russia,2023/24,0,Robusta
Russia,2024/25,0,Robusta
Russia,2025/26,0,Robusta
Rwanda,2021/22,0,Robusta
Rwanda,2022/23,0,Robusta
Rwanda,2023/24,0,Robusta
Rwanda,2024/25,0,Robusta
Rwanda,2025/26,0,Robusta
Saudi Arabia,2021/22,0,Robusta
Saudi Arabia,2022/23,0,Robusta
Saudi Arabia,2023/24,0,Robusta
Saudi Arabia,2024/25,0,Robusta
Saudi Arabia,2025/26,0,Robusta
Senegal,2021/22,0,Robusta
Senegal,2022/23,0,Robusta
Senegal,2023/24,0,Robusta
Senegal,2024/25,0,Robusta
Senegal,2025/26,0,Robusta
Serbia,2021/22,0,Robusta
Serbia,2022/23,0,Robusta
Serbia,2023/24,0,Robusta
Serbia,2024/25,0,Robusta
Serbia,2025/26,0,Robusta
Sierra Leone,2021/22,33,Robusta
Sierra Leone,2022/23,55,Robusta
Sierra Leone,2023/24,35,Robusta
Sierra Leone,2024/25,58,Robusta
Sierra Leone,2025/26,60,Robusta
Singapore,2021/22,0,Robusta
Singapore,2022/23,0,Robusta
Singapore,2023/24,0,Robusta
Singapore,2024/25,0,Robusta
Singapore,2025/26,0,Robusta
South Africa,2021/22,0,Robusta
South Africa,2022/23,0,Robusta
South Africa,2023/24,0,Robusta
South Africa,2024/25,0,Robusta
South Africa,2025/26,0,Robusta
Sri Lanka,2021/22,0,Robusta
Sri Lanka,2022/23,0,Robusta
Sri Lanka,2023/24,0,Robusta
Sri Lanka,2024/25,0,Robusta
Sri Lanka,2025/26,0,Robusta
Switzerland,2021/22,0,Robusta
Switzerland,2022/23,0,Robusta
Switzerland,2023/24,0,Robusta
Switzerland,2024/25,0,Robusta
Switzerland,2025/26,0,Robusta
Taiwan,2021/22,0,Robusta
Taiwan,2022/23,0,Robusta
Taiwan,2023/24,0,Robusta
Taiwan,2024/25,0,Robusta
Taiwan,2025/26,0,Robusta
Tanzania,2021/22,550,Robusta
Tanzania,2022/23,550,Robusta
Tanzania,2023/24,600,Robusta
Tanzania,2024/25,650,Robusta
Tanzania,2025/26,700,Robusta
Thailand,2021/22,650,Robusta
Thailand,2022/23,700,Robusta
Thailand,2023/24,750,Robusta
Thailand,2024/25,900,Robusta
Thailand,2025/26,900,Robusta
Togo,2021/22,80,Robusta
Togo,2022/23,110,Robusta
Togo,2023/24,75,Robusta
Togo,2024/25,90,Robusta
Togo,2025/26,85,Robusta
Trinidad and Tobago,2021/22,0,Robusta
Trinidad and Tobago,2022/23,0,Robusta
Trinidad and Tobago,2023/24,0,Robusta
Trinidad and Tobago,2024/25,0,Robusta
Trinidad and Tobago,2025/26,0,Robusta
Turkey,2021/22,0,Robusta
Turkey,2022/23,0,Robusta
Turkey,2023/24,0,Robusta
Turkey,2024/25,0,Robusta
Turkey,2025/26,0,Robusta
Uganda,2021/22,5060,Robusta
Uganda,2022/23,5575,Robusta
Uganda,2023/24,5400,Robusta
Uganda,2024/25,5670,Robusta
Uganda,2025/26,5815,Robusta
Ukraine,2021/22,0,Robusta
Ukraine,2022/23,0,Robusta
Ukraine,2023/24,0,Robusta
Ukraine,2024/25,0,Robusta
Ukraine,2025/26,0,Robusta
United Kingdom,2021/22,0,Robusta
United Kingdom,2022/23,0,Robusta
United Kingdom,2023/24,0,Robusta
United Kingdom,2024/25,0,Robusta
United Kingdom,2025/26,0,Robusta
United States,2021/22,0,Robusta
United States,2022/23,0,Robusta
United States,2023/24,0,Robusta
United States,2024/25,0,Robusta
United States,2025/26,0,Robusta
Uruguay,2021/22,0,Robusta
Uruguay,2022/23,0,Robusta
Uruguay,2023/24,0,Robusta
Uruguay,2024/25,0,Robusta
Uruguay,2025/26,0,Robusta
Venezuela,2021/22,0,Robusta
Venezuela,2022/23,0,Robusta
Venezuela,2023/24,0,Robusta
Venezuela,2024/25,0,Robusta
Venezuela,2025/26,0,Robusta
Vietnam,2021/22,30480,Robusta
Vietnam,2022/23,27300,Robusta
Vietnam,2023/24,26550,Robusta
Vietnam,2024/25,28000,Robusta
Vietnam,2025/26,29600,Robusta
Yemen,2021/22,0,Robusta
Yemen,2022/23,0,Robusta
Yemen,2023/24,0,Robusta
Yemen,2024/25,0,Robusta
Yemen,2025/26,0,Robusta
Zambia,2021/22,0,Robusta
Zambia,2022/23,0,Robusta
Zambia,2023/24,0,Robusta
Zambia,2024/25,0,Robusta
Zambia,2025/26,0,Robusta
Zimbabwe,2021/22,0,Robusta
Zimbabwe,2022/23,0,Robusta
Zimbabwe,2023/24,0,Robusta
Zimbabwe,2024/25,0,Robusta
Zimbabwe,2025/26,0,Robusta
Albania,2021/22,0,Arabica
