Country,Year,Production,Type,Region
Albania,2021/22,0,Robusta,Europe
Albania,2022/23,0,Robusta,Europe
Albania,2023/24,0,Robusta,Europe
Albania,2024/25,0,Robusta,Europe
Albania,2025/26,0,Robusta,Europe
Algeria,2021/22,0,Robusta,Africa
Algeria,2022/23,0,Robusta,Africa
Algeria,2023/24,0,Robusta,Africa
Algeria,2024/25,0,Robusta,Africa
Algeria,2025/26,0,Robusta,Africa
Angola,2021/22,30,Robusta,Africa
Angola,2022/23,20,Robusta,Africa
Angola,2023/24,30,Robusta,Africa
Angola,2024/25,45,Robusta,Africa
Angola,2025/26,50,Robusta,Africa
Argentina,2021/22,0,Robusta,South America
Argentina,2022/23,0,Robusta,South America
Argentina,2023/24,0,Robusta,South America
Argentina,2024/25,0,Robusta,South America
Argentina,2025/26,0,Robusta,South America
Armenia,2021/22,0,Robusta,Asia
Armenia,2022/23,0,Robusta,Asia
Armenia,2023/24,0,Robusta,Asia
Armenia,2024/25,0,Robusta,Asia
Armenia,2025/26,0,Robusta,Asia
Australia,2021/22,0,Robusta,Oceania
Australia,2022/23,0,Robusta,Oceania
Australia,2023/24,0,Robusta,Oceania
Australia,2024/25,0,Robusta,Oceania
Australia,2025/26,0,Robusta,Oceania
Benin,2021/22,0,Robusta,Africa
Benin,2022/23,0,Robusta,Africa
Benin,2023/24,0,Robusta,Africa
Benin,2024/25,0,Robusta,Africa
Benin,2025/26,0,Robusta,Africa
Bolivia,2021/22,0,Robusta,South America
Bolivia,2022/23,0,Robusta,South America
Bolivia,2023/24,0,Robusta,South America
Bolivia,2024/25,0,Robusta,South America
Bolivia,2025/26,0,Robusta,South America
Bosnia and Herzegovina,2021/22,0,Robusta,Europe
Bosnia and Herzegovina,2022/23,0,Robusta,Europe
Bosnia and Herzegovina,2023/24,0,Robusta,Europe
Bosnia and Herzegovina,2024/25,0,Robusta,Europe
Bosnia and Herzegovina,2025/26,0,Robusta,Europe
Brazil,2021/22,21700,Robusta,South America
Brazil,2022/23,22800,Robusta,South America
Brazil,2023/24,21400,Robusta,South America
Brazil,2024/25,21000,Robusta,South America
Brazil,2025/26,25000,Robusta,South America
Burundi,2021/22,0,Robusta,Africa
Burundi,2022/23,0,Robusta,Africa
Burundi,2023/24,0,Robusta,Africa
Burundi,2024/25,0,Robusta,Africa
Burundi,2025/26,0,Robusta,Africa
Cameroon,2021/22,250,Robusta,Africa
Cameroon,2022/23,220,Robusta,Africa
Cameroon,2023/24,190,Robusta,Africa
Cameroon,2024/25,180,Robusta,Africa
Cameroon,2025/26,200,Robusta,Africa
Canada,2021/22,0,Robusta,North America
Canada,2022/23,0,Robusta,North America
Canada,2023/24,0,Robusta,North America
Canada,2024/25,0,Robusta,North America
Canada,2025/26,0,Robusta,North America
Central African Republic,2021/22,0,Robusta,Africa
Central African Republic,2022/23,0,Robusta,Africa
Central African Republic,2023/24,0,Robusta,Africa
Central African Republic,2024/25,0,Robusta,Africa
Central African Republic,2025/26,0,Robusta,Africa
Chile,2021/22,0,Robusta,South America
Chile,2022/23,0,Robusta,South America
Chile,2023/24,0,Robusta,South America
Chile,2024/25,0,Robusta,South America
Chile,2025/26,0,Robusta,South America
China,2021/22,0,Robusta,Asia
China,2022/23,0,Robusta,Asia
China,2023/24,0,Robusta,Asia
China,2024/25,0,Robusta,Asia
China,2025/26,0,Robusta,Asia
Colombia,2021/22,0,Robusta,South America
Colombia,2022/23,0,Robusta,South America
Colombia,2023/24,0,Robusta,South America
Colombia,2024/25,0,Robusta,South America
Colombia,2025/26,0,Robusta,South America
Congo (Brazzaville),2021/22,0,Robusta,Other
Congo (Brazzaville),2022/23,0,Robusta,Other
Congo (Brazzaville),2023/24,0,Robusta,Other
Congo (Brazzaville),2024/25,0,Robusta,Other
Congo (Brazzaville),2025/26,0,Robusta,Other
Congo (Kinshasa),2021/22,200,Robusta,Other
Congo (Kinshasa),2022/23,180,Robusta,Other
Congo (Kinshasa),2023/24,150,Robusta,Other
Congo (Kinshasa),2024/25,145,Robusta,Other
Congo (Kinshasa),2025/26,150,Robusta,Other
Costa Rica,2021/22,0,Robusta,North America
Costa Rica,2022/23,0,Robusta,North America
Costa Rica,2023/24,0,Robusta,North America
Costa Rica,2024/25,0,Robusta,North America
Costa Rica,2025/26,0,Robusta,North America
Cote dchr(39)Ivoire,2021/22,1110,Robusta,Other
Cote dchr(39)Ivoire,2022/23,1020,Robusta,Other
Cote dchr(39)Ivoire,2023/24,1325,Robusta,Other
Cote dchr(39)Ivoire,2024/25,650,Robusta,Other
Cote dchr(39)Ivoire,2025/26,1300,Robusta,Other
Croatia,2021/22,0,Robusta,Europe
Croatia,2022/23,0,Robusta,Europe
Croatia,2023/24,0,Robusta,Europe
Croatia,2024/25,0,Robusta,Europe
Croatia,2025/26,0,Robusta,Europe
Cuba,2021/22,0,Robusta,North America
Cuba,2022/23,0,Robusta,North America
Cuba,2023/24,0,Robusta,North America
Cuba,2024/25,0,Robusta,North America
Cuba,2025/26,0,Robusta,North America
Dominican Republic,2021/22,0,Robusta,North America
Dominican Republic,2022/23,0,Robusta,North America
Dominican Republic,2023/24,0,Robusta,North America
Dominican Republic,2024/25,0,Robusta,North America
Dominican Republic,2025/26,0,Robusta,North America
Ecuador,2021/22,170,Robusta,South America
Ecuador,2022/23,241,Robusta,South America
Ecuador,2023/24,250,Robusta,South America
Ecuador,2024/25,250,Robusta,South America
Ecuador,2025/26,250,Robusta,South America
Egypt,2021/22,0,Robusta,Africa
Egypt,2022/23,0,Robusta,Africa
Egypt,2023/24,0,Robusta,Africa
Egypt,2024/25,0,Robusta,Africa
Egypt,2025/26,0,Robusta,Africa
El Salvador,2021/22,0,Robusta,North America
El Salvador,2022/23,0,Robusta,North America
El Salvador,2023/24,0,Robusta,North America
El Salvador,2024/25,0,Robusta,North America
El Salvador,2025/26,0,Robusta,North America
Equatorial Guinea,2021/22,0,Robusta,Africa
Equatorial Guinea,2022/23,0,Robusta,Africa
Equatorial Guinea,2023/24,0,Robusta,Africa
Equatorial Guinea,2024/25,0,Robusta,Africa
Equatorial Guinea,2025/26,0,Robusta,Africa
Ethiopia,2021/22,0,Robusta,Africa
Ethiopia,2022/23,0,Robusta,Africa
Ethiopia,2023/24,0,Robusta,Africa
Ethiopia,2024/25,0,Robusta,Africa
Ethiopia,2025/26,0,Robusta,Africa
European Union,2021/22,0,Robusta,Other
European Union,2022/23,0,Robusta,Other
European Union,2023/24,0,Robusta,Other
European Union,2024/25,0,Robusta,Other
European Union,2025/26,0,Robusta,Other
Gabon,2021/22,0,Robusta,Africa
Gabon,2022/23,0,Robusta,Africa
Gabon,2023/24,0,Robusta,Africa
Gabon,2024/25,0,Robusta,Africa
Gabon,2025/26,0,Robusta,Africa
Georgia,2021/22,0,Robusta,Asia
Georgia,2022/23,0,Robusta,Asia
Georgia,2023/24,0,Robusta,Asia
Georgia,2024/25,0,Robusta,Asia
Georgia,2025/26,0,Robusta,Asia
Ghana,2021/22,0,Robusta,Africa
Ghana,2022/23,0,Robusta,Africa
Ghana,2023/24,0,Robusta,Africa
Ghana,2024/25,0,Robusta,Africa
Ghana,2025/26,0,Robusta,Africa
Guatemala,2021/22,130,Robusta,North America
Guatemala,2022/23,120,Robusta,North America
Guatemala,2023/24,130,Robusta,North America
Guatemala,2024/25,130,Robusta,North America
Guatemala,2025/26,130,Robusta,North America
Guinea,2021/22,300,Robusta,Africa
Guinea,2022/23,100,Robusta,Africa
Guinea,2023/24,190,Robusta,Africa
Guinea,2024/25,175,Robusta,Africa
Guinea,2025/26,190,Robusta,Africa
Guyana,2021/22,0,Robusta,South America
Guyana,2022/23,0,Robusta,South America
Guyana,2023/24,0,Robusta,South America
Guyana,2024/25,0,Robusta,South America
Guyana,2025/26,0,Robusta,South America
Haiti,2021/22,0,Robusta,North America
Haiti,2022/23,0,Robusta,North America
Haiti,2023/24,0,Robusta,North America
Haiti,2024/25,0,Robusta,North America
Haiti,2025/26,0,Robusta,North America
Honduras,2021/22,0,Robusta,North America
Honduras,2022/23,0,Robusta,North America
Honduras,2023/24,0,Robusta,North America
Honduras,2024/25,0,Robusta,North America
Honduras,2025/26,0,Robusta,North America
India,2021/22,4117,Robusta,Asia
India,2022/23,4200,Robusta,Asia
India,2023/24,5080,Robusta,Asia
India,2024/25,4800,Robusta,Asia
India,2025/26,4700,Robusta,Asia
Indonesia,2021/22,9300,Robusta,Asia
Indonesia,2022/23,9500,Robusta,Asia
Indonesia,2023/24,6800,Robusta,Asia
Indonesia,2024/25,9300,Robusta,Asia
Indonesia,2025/26,11000,Robusta,Asia
Iran,2021/22,0,Robusta,Other
Iran,2022/23,0,Robusta,Other
Iran,2023/24,0,Robusta,Other
Iran,2024/25,0,Robusta,Other
Iran,2025/26,0,Robusta,Other
Jamaica,2021/22,0,Robusta,North America
Jamaica,2022/23,0,Robusta,North America
Jamaica,2023/24,0,Robusta,North America
Jamaica,2024/25,0,Robusta,North America
Jamaica,2025/26,0,Robusta,North America
Japan,2021/22,0,Robusta,Asia
Japan,2022/23,0,Robusta,Asia
Japan,2023/24,0,Robusta,Asia
Japan,2024/25,0,Robusta,Asia
Japan,2025/26,0,Robusta,Asia
Jordan,2021/22,0,Robusta,Asia
Jordan,2022/23,0,Robusta,Asia
Jordan,2023/24,0,Robusta,Asia
Jordan,2024/25,0,Robusta,Asia
Jordan,2025/26,0,Robusta,Asia
Kazakhstan,2021/22,0,Robusta,Asia
Kazakhstan,2022/23,0,Robusta,Asia
Kazakhstan,2023/24,0,Robusta,Asia
Kazakhstan,2024/25,0,Robusta,Asia
Kazakhstan,2025/26,0,Robusta,Asia
Kenya,2021/22,0,Robusta,Africa
Kenya,2022/23,0,Robusta,Africa
Kenya,2023/24,0,Robusta,Africa
Kenya,2024/25,0,Robusta,Africa
Kenya,2025/26,0,Robusta,Africa
Korea South,2021/22,0,Robusta,Other
Korea South,2022/23,0,Robusta,Other
Korea South,2023/24,0,Robusta,Other
Korea South,2024/25,0,Robusta,Other
Korea South,2025/26,0,Robusta,Other
Kosovo,2021/22,0,Robusta,Other
Kosovo,2022/23,0,Robusta,Other
Kosovo,2023/24,0,Robusta,Other
Kosovo,2024/25,0,Robusta,Other
Kosovo,2025/26,0,Robusta,Other
Laos,2021/22,385,Robusta,Other
Laos,2022/23,410,Robusta,Other
Laos,2023/24,410,Robusta,Other
Laos,2024/25,430,Robusta,Other
Laos,2025/26,430,Robusta,Other
Liberia,2021/22,0,Robusta,Africa
Liberia,2022/23,0,Robusta,Africa
Liberia,2023/24,0,Robusta,Africa
Liberia,2024/25,0,Robusta,Africa
Liberia,2025/26,0,Robusta,Africa
North Macedonia,2021/22,0,Robusta,Europe
North Macedonia,2022/23,0,Robusta,Europe
North Macedonia,2023/24,0,Robusta,Europe
North Macedonia,2024/25,0,Robusta,Europe
North Macedonia,2025/26,0,Robusta,Europe
Madagascar,2021/22,275,Robusta,Africa
Madagascar,2022/23,300,Robusta,Africa
Madagascar,2023/24,275,Robusta,Africa
Madagascar,2024/25,275,Robusta,Africa
Madagascar,2025/26,275,Robusta,Africa
Malawi,2021/22,0,Robusta,Africa
Malawi,2022/23,0,Robusta,Africa
Malawi,2023/24,0,Robusta,Africa
Malawi,2024/25,0,Robusta,Africa
Malawi,2025/26,0,Robusta,Africa
Malaysia,2021/22,2000,Robusta,Asia
Malaysia,2022/23,2000,Robusta,Asia
Malaysia,2023/24,1330,Robusta,Asia
Malaysia,2024/25,1400,Robusta,Asia
Malaysia,2025/26,1500,Robusta,Asia
Mexico,2021/22,540,Robusta,North America
Mexico,2022/23,545,Robusta,North America
Mexico,2023/24,500,Robusta,North America
Mexico,2024/25,340,Robusta,North America
Mexico,2025/26,363,Robusta,North America
Montenegro,2021/22,0,Robusta,Europe
Montenegro,2022/23,0,Robusta,Europe
Montenegro,2023/24,0,Robusta,Europe
Montenegro,2024/25,0,Robusta,Europe
Montenegro,2025/26,0,Robusta,Europe
Morocco,2021/22,0,Robusta,Africa
Morocco,2022/23,0,Robusta,Africa
Morocco,2023/24,0,Robusta,Africa
Morocco,2024/25,0,Robusta,Africa
Morocco,2025/26,0,Robusta,Africa
New Caledonia,2021/22,0,Robusta,Other
New Caledonia,2022/23,0,Robusta,Other
New Caledonia,2023/24,0,Robusta,Other
New Caledonia,2024/25,0,Robusta,Other
New Caledonia,2025/26,0,Robusta,Other
New Zealand,2021/22,0,Robusta,Oceania
New Zealand,2022/23,0,Robusta,Oceania
New Zealand,2023/24,0,Robusta,Oceania
New Zealand,2024/25,0,Robusta,Oceania
New Zealand,2025/26,0,Robusta,Oceania
Nicaragua,2021/22,120,Robusta,North America
Nicaragua,2022/23,160,Robusta,North America
Nicaragua,2023/24,160,Robusta,North America
Nicaragua,2024/25,160,Robusta,North America
Nicaragua,2025/26,160,Robusta,North America
Nigeria,2021/22,0,Robusta,Africa
Nigeria,2022/23,0,Robusta,Africa
Nigeria,2023/24,0,Robusta,Africa
Nigeria,2024/25,0,Robusta,Africa
Nigeria,2025/26,0,Robusta,Africa
Norway,2021/22,0,Robusta,Europe
Norway,2022/23,0,Robusta,Europe
Norway,2023/24,0,Robusta,Europe
Norway,2024/25,0,Robusta,Europe
Norway,2025/26,0,Robusta,Europe
Panama,2021/22,0,Robusta,North America
Panama,2022/23,0,Robusta,North America
Panama,2023/24,0,Robusta,North America
Panama,2024/25,0,Robusta,North America
Panama,2025/26,0,Robusta,North America
Papua New Guinea,2021/22,50,Robusta,Oceania
Papua New Guinea,2022/23,50,Robusta,Oceania
Papua New Guinea,2023/24,50,Robusta,Oceania
Papua New Guinea,2024/25,40,Robusta,Oceania
Papua New Guinea,2025/26,50,Robusta,Oceania
Paraguay,2021/22,0,Robusta,South America
Paraguay,2022/23,0,Robusta,South America
Paraguay,2023/24,0,Robusta,South America
Paraguay,2024/25,0,Robusta,South America
Paraguay,2025/26,0,Robusta,South America
Peru,2021/22,0,Robusta,South America
Peru,2022/23,0,Robusta,South America
Peru,2023/24,0,Robusta,South America
Peru,2024/25,0,Robusta,South America
Peru,2025/26,0,Robusta,South America
Philippines,2021/22,425,Robusta,Asia
Philippines,2022/23,450,Robusta,Asia
Philippines,2023/24,425,Robusta,Asia
Philippines,2024/25,425,Robusta,Asia
Philippines,2025/26,425,Robusta,Asia
Russia,2021/22,0,Robusta,Europe
Russia,2022/23,0,Robusta,Europe
Russia,2023/24,0,Robusta,Europe
Russia,2024/25,0,Robusta,Europe
Russia,2025/26,0,Robusta,Europe
Rwanda,2021/22,0,Robusta,Africa
Rwanda,2022/23,0,Robusta,Africa
Rwanda,2023/24,0,Robusta,Africa
Rwanda,2024/25,0,Robusta,Africa
Rwanda,2025/26,0,Robusta,Africa
Saudi Arabia,2021/22,0,Robusta,Asia
Saudi Arabia,2022/23,0,Robusta,Asia
Saudi Arabia,2023/24,0,Robusta,Asia
Saudi Arabia,2024/25,0,Robusta,Asia
Saudi Arabia,2025/26,0,Robusta,Asia
Senegal,2021/22,0,Robusta,Africa
Senegal,2022/23,0,Robusta,Africa
Senegal,2023/24,0,Robusta,Africa
Senegal,2024/25,0,Robusta,Africa
Senegal,2025/26,0,Robusta,Africa
Serbia,2021/22,0,Robusta,Europe
Serbia,2022/23,0,Robusta,Europe
Serbia,2023/24,0,Robusta,Europe
Serbia,2024/25,0,Robusta,Europe
Serbia,2025/26,0,Robusta,Europe
Sierra Leone,2021/22,33,Robusta,Africa
Sierra Leone,2022/23,55,Robusta,Africa
Sierra Leone,2023/24,35,Robusta,Africa
Sierra Leone,2024/25,58,Robusta,Africa
Sierra Leone,2025/26,60,Robusta,Africa
Singapore,2021/22,0,Robusta,Asia
Singapore,2022/23,0,Robusta,Asia
Singapore,2023/24,0,Robusta,Asia
Singapore,2024/25,0,Robusta,Asia
Singapore,2025/26,0,Robusta,Asia
South Africa,2021/22,0,Robusta,Africa
South Africa,2022/23,0,Robusta,Africa
South Africa,2023/24,0,Robusta,Africa
South Africa,2024/25,0,Robusta,Africa
South Africa,2025/26,0,Robusta,Africa
Sri Lanka,2021/22,0,Robusta,Asia
Sri Lanka,2022/23,0,Robusta,Asia
Sri Lanka,2023/24,0,Robusta,Asia
Sri Lanka,2024/25,0,Robusta,Asia
Sri Lanka,2025/26,0,Robusta,Asia
Switzerland,2021/22,0,Robusta,Europe
Switzerland,2022/23,0,Robusta,Europe
Switzerland,2023/24,0,Robusta,Europe
Switzerland,2024/25,0,Robusta,Europe
Switzerland,2025/26,0,Robusta,Europe
Taiwan,2021/22,0,Robusta,Asia
Taiwan,2022/23,0,Robusta,Asia
Taiwan,2023/24,0,Robusta,Asia
Taiwan,2024/25,0,Robusta,Asia
Taiwan,2025/26,0,Robusta,Asia
Tanzania,2021/22,550,Robusta,Africa
Tanzania,2022/23,550,Robusta,Africa
Tanzania,2023/24,600,Robusta,Africa
Tanzania,2024/25,650,Robusta,Africa
Tanzania,2025/26,700,Robusta,Africa
Thailand,2021/22,650,Robusta,Asia
Thailand,2022/23,700,Robusta,Asia
Thailand,2023/24,750,Robusta,Asia
Thailand,2024/25,900,Robusta,Asia
Thailand,2025/26,900,Robusta,Asia
Togo,2021/22,80,Robusta,Africa
Togo,2022/23,110,Robusta,Africa
Togo,2023/24,75,Robusta,Africa
Togo,2024/25,90,Robusta,Africa
Togo,2025/26,85,Robusta,Africa
Trinidad and Tobago,2021/22,0,Robusta,North America
Trinidad and Tobago,2022/23,0,Robusta,North America
Trinidad and Tobago,2023/24,0,Robusta,North America
Trinidad and Tobago,2024/25,0,Robusta,North America
Trinidad and Tobago,2025/26,0,Robusta,North America
Turkey,2021/22,0,Robusta,Asia
Turkey,2022/23,0,Robusta,Asia
Turkey,2023/24,0,Robusta,Asia
Turkey,2024/25,0,Robusta,Asia
Turkey,2025/26,0,Robusta,Asia
Uganda,2021/22,5060,Robusta,Africa
Uganda,2022/23,5575,Robusta,Africa
Uganda,2023/24,5400,Robusta,Africa
Uganda,2024/25,5670,Robusta,Africa
Uganda,2025/26,5815,Robusta,Africa
Ukraine,2021/22,0,Robusta,Europe
Ukraine,2022/23,0,Robusta,Europe
Ukraine,2023/24,0,Robusta,Europe
Ukraine,2024/25,0,Robusta,Europe
Ukraine,2025/26,0,Robusta,Europe
United Kingdom,2021/22,0,Robusta,Europe
United Kingdom,2022/23,0,Robusta,Europe
United Kingdom,2023/24,0,Robusta,Europe
United Kingdom,2024/25,0,Robusta,Europe
United Kingdom,2025/26,0,Robusta,Europe
United States,2021/22,0,Robusta,North America
United States,2022/23,0,Robusta,North America
United States,2023/24,0,Robusta,North America
United States,2024/25,0,Robusta,North America
United States,2025/26,0,Robusta,North America
Uruguay,2021/22,0,Robusta,South America
Uruguay,2022/23,0,Robusta,South America
Uruguay,2023/24,0,Robusta,South America
Uruguay,2024/25,0,Robusta,South America
Uruguay,2025/26,0,Robusta,South America
Venezuela,2021/22,0,Robusta,South America
Venezuela,2022/23,0,Robusta,South America
Venezuela,2023/24,0,Robusta,South America
Venezuela,2024/25,0,Robusta,South America
Venezuela,2025/26,0,Robusta,South America
Vietnam,2021/22,30480,Robusta,Asia
Vietnam,2022/23,27300,Robusta,Asia
Vietnam,2023/24,26550,Robusta,Asia
Vietnam,2024/25,28000,Robusta,Asia
Vietnam,2025/26,29600,Robusta,Asia
Yemen,2021/22,0,Robusta,Asia
Yemen,2022/23,0,Robusta,Asia
Yemen,2023/24,0,Robusta,Asia
Yemen,2024/25,0,Robusta,Asia
Yemen,2025/26,0,Robusta,Asia
Zambia,2021/22,0,Robusta,Africa
Zambia,2022/23,0,Robusta,Africa
Zambia,2023/24,0,Robusta,Africa
Zambia,2024/25,0,Robusta,Africa
Zambia,2025/26,0,Robusta,Africa
Zimbabwe,2021/22,0,Robusta,Africa
Zimbabwe,2022/23,0,Robusta,Africa
Zimbabwe,2023/24,0,Robusta,Africa
Zimbabwe,2024/25,0,Robusta,Africa
Zimbabwe,2025/26,0,Robusta,Africa
Albania,2021/22,0,Arabica,Europe
