Country,Year,Production,Yield_tonnes_per_hectare,Production_Tonnes
Jamaica,2015,27,0.7629,1620
Jamaica,2016,16,0.8121,960
Jamaica,2017,16,0.8371,960
Jamaica,2018,15,0.868,900
Jamaica,2019,16,0.8867,960
Jamaica,2020,15,0.8739,900
Jamaica,2021,15,0.8459,900
Jamaica,2022,15,0.8113,900
Jamaica,2023,15,0.8037,900
Kenya,2000,864,0.5924,51840
Kenya,2001,869,0.3041,52140
Kenya,2002,926,0.3053,55560
Kenya,2003,847,0.3261,50820
Kenya,2004,756,0.2849,45360
Kenya,2005,805,0.2659,48300
Kenya,2006,876,0.2841,52560
Kenya,2007,750,0.3274,45000
Kenya,2008,900,0.271,54000
Kenya,2009,900,0.3375,54000
Kenya,2010,710,0.2625,42600
Kenya,2011,750,0.314,45000
Kenya,2012,660,0.4463,39600
Kenya,2013,850,0.3625,51000
Kenya,2014,780,0.45,46800
Kenya,2015,750,0.37,45000
Kenya,2016,850,0.4044,51000
Kenya,2017,720,0.3367,43200
Kenya,2018,850,0.358,51000
Kenya,2019,750,0.3721,45000
Kenya,2020,693,0.3083,41580
Kenya,2021,860,0.3189,51600
Kenya,2022,750,0.4744,45000
Kenya,2023,800,0.4352,48000
Laos,2000,392,0.7993,23520
Laos,2001,430,0.8006,25800
Laos,2002,537,0.8791,32220
Laos,2003,464,0.7457,27840
Laos,2004,385,0.6148,23100
Laos,2005,300,0.5871,18000
Laos,2006,420,0.5853,25200
Laos,2007,355,0.7379,21300
Laos,2008,350,0.8029,21000
Laos,2009,390,0.878,23400
Laos,2010,500,0.9149,30000
Laos,2011,450,0.9495,27000
Laos,2012,460,1.5355,27600
Laos,2013,475,1.6051,28500
Laos,2014,475,1.615,28500
Laos,2015,475,1.7531,28500
Laos,2016,410,1.7535,24600
Laos,2017,450,1.8642,27000
Laos,2018,375,1.8611,22500
Laos,2019,440,1.9894,26400
Laos,2020,485,1.9156,29100
Laos,2021,385,1.9347,23100
Laos,2022,435,1.9128,26100
Laos,2023,450,1.9196,27000
Liberia,2000,14,0.1954,840
Liberia,2001,12,0.2021,720
Liberia,2002,63,0.2063,3780
Liberia,2003,66,0.2107,3960
Liberia,2004,68,0.2147,4080
Liberia,2005,71,0.2267,4260
Liberia,2006,53,0.2367,3180
Liberia,2007,25,0.2271,1500
Liberia,2008,7,0.2286,420
Liberia,2009,2,0.225,120
Liberia,2010,4,0.2308,240
Liberia,2011,5,0.2321,300
Liberia,2012,5,0.2322,300
Liberia,2013,1,0.2291,60
Liberia,2014,3,0.2324,180
Madagascar,2000,366,0.3006,21960
Madagascar,2001,147,0.3337,8820
Madagascar,2002,445,0.3179,26700
Madagascar,2003,435,0.3631,26100
Madagascar,2004,522,0.3498,31320
Madagascar,2005,592,0.4825,35520
Madagascar,2006,582,0.5355,34920
Madagascar,2007,555,0.5056,33300
Madagascar,2008,530,0.483,31800
Madagascar,2009,475,0.4831,28500
Madagascar,2010,550,0.491,33000
Madagascar,2011,550,0.5061,33000
Madagascar,2012,525,0.5222,31500
Madagascar,2013,550,0.5335,33000
Madagascar,2014,500,0.5362,30000
Madagascar,2015,255,0.5461,15300
Madagascar,2016,295,0.5424,17700
Madagascar,2017,250,0.5406,15000
Madagascar,2018,280,0.5422,16800
Madagascar,2019,325,0.5429,19500
Madagascar,2020,325,0.548,19500
Madagascar,2021,300,0.5583,18000
Madagascar,2022,325,0.5588,19500
Madagascar,2023,300,0.5623,18000
Malawi,2000,63,1.0865,3780
Malawi,2001,60,0.96,3600
Malawi,2002,42,0.9215,2520
Malawi,2003,48,1.0382,2880
Malawi,2004,21,0.6974,1260
Malawi,2005,24,0.7873,1440
Malawi,2006,17,0.9957,1020
Malawi,2007,25,0.9353,1500
Malawi,2008,15,0.8631,900
Malawi,2009,20,1.8367,1200
Malawi,2010,24,1.4735,1440
Malawi,2011,21,1.428,1260
Malawi,2012,25,1.4575,1500
Malawi,2013,25,1.4631,1500
Malawi,2014,21,1.5181,1260
Malawi,2015,23,1.6827,1380
Malawi,2016,16,1.6827,960
Malawi,2017,12,1.8771,720
Malawi,2018,11,2.3346,660
Malawi,2019,10,2.2164,600
Malawi,2020,10,2.5707,600
Malawi,2021,11,3.1352,660
Malawi,2022,11,3.1509,660
Malawi,2023,10,2.8202,600
Malaysia,2000,700,1.4161,42000
Malaysia,2001,800,1.5245,48000
Malaysia,2002,950,1.7059,57000
Malaysia,2003,1000,1.8284,60000
Malaysia,2004,1000,2.1072,60000
Malaysia,2005,700,2.2158,42000
Malaysia,2006,500,2.3278,30000
Malaysia,2007,770,2.4315,46200
Malaysia,2008,975,2.5444,58500
Malaysia,2009,1000,2.6563,60000
Malaysia,2010,1100,3.093,66000
Malaysia,2011,1450,2.9302,87000
Malaysia,2012,1400,2.4379,84000
Malaysia,2013,1500,3.9158,90000
Malaysia,2014,2100,2.1994,126000
Malaysia,2015,2200,3.0001,132000
Malaysia,2016,2100,3.5315,126000
Malaysia,2017,2100,3.9059,126000
Malaysia,2018,2100,2.2804,126000
Malaysia,2019,1900,2.2573,114000
Malaysia,2020,2000,2.7218,120000
Malaysia,2021,2000,1.8177,120000
Malaysia,2022,2000,2.6534,120000
Malaysia,2023,1500,2.904,90000
Mexico,2000,4800,0.4822,288000
Mexico,2001,4200,0.4054,252000
Mexico,2002,4350,0.432,261000
Mexico,2003,4300,0.4185,258000
Mexico,2004,4000,0.4108,240000
Mexico,2005,4200,0.3862,252000
Mexico,2006,4500,0.3663,270000
Mexico,2007,4350,0.3479,261000
Mexico,2008,4550,0.3396,273000
Mexico,2009,4150,0.3454,249000
Mexico,2010,4000,0.3308,240000
Mexico,2011,4300,0.3445,258000
Mexico,2012,4650,0.354,279000
Mexico,2013,3950,0.3308,237000
Mexico,2014,3180,0.307,190800
Mexico,2015,2300,0.2842,138000
Mexico,2016,3300,0.235,198000
Mexico,2017,4000,0.2408,240000
Mexico,2018,3550,0.2514,213000
Mexico,2019,3700,0.2633,222000
Mexico,2020,3530,0.276,211800
Mexico,2021,3740,0.2716,224400
Mexico,2022,3545,0.291,212700
Mexico,2023,4090,0.2978,245400
Nicaragua,2000,1610,0.7621,96600
Nicaragua,2001,895,0.6137,53700
Nicaragua,2002,1200,0.5229,72000
Nicaragua,2003,1547,0.7181,92820
Nicaragua,2004,1130,0.4994,67800
Nicaragua,2005,1718,0.7523,103080
Nicaragua,2006,1300,0.617,78000
Nicaragua,2007,1850,0.7882,111000
Nicaragua,2008,1650,0.6555,99000
Nicaragua,2009,1925,0.7769,115500
Nicaragua,2010,1740,0.6924,104400
Nicaragua,2011,2100,0.8636,126000
Nicaragua,2012,1925,0.725,115500
Nicaragua,2013,2000,0.7732,120000
Nicaragua,2014,2125,0.8159,127500
Nicaragua,2015,2125,0.825,127500
Nicaragua,2016,2625,1.0164,157500
Nicaragua,2017,2730,0.9594,163800
Nicaragua,2018,2950,1.0605,177000
Nicaragua,2019,2755,1.0625,165300
Nicaragua,2020,2650,1.0334,159000
Nicaragua,2021,2900,1.0493,174000
Nicaragua,2022,2660,1.0414,159600
Nicaragua,2023,2660,0.9659,159600
Nigeria,2000,48,1.2006,2880
Nigeria,2001,44,1.1994,2640
Nigeria,2002,50,1.2312,3000
Nigeria,2003,36,1.2316,2160
Nigeria,2004,35,1.3017,2100
Nigeria,2005,59,1.3597,3540
Nigeria,2006,51,1.4394,3060
Nigeria,2007,35,1.26,2100
Nigeria,2008,30,1.4286,1800
Nigeria,2009,30,1.1333,1800
Nigeria,2010,30,1.2063,1800
Nigeria,2011,40,1.3001,2400
Nigeria,2012,30,1.2767,1800
Nigeria,2013,20,1.2811,1200
Nigeria,2014,20,1.2974,1200
Nigeria,2015,20,1.3045,1200
Nigeria,2016,10,1.2936,600
Nigeria,2017,5,1.2983,300
Panama,2000,170,0.4755,10200
Panama,2001,160,0.45,9600
Panama,2002,140,0.4502,8400
Panama,2003,172,0.4508,10320
Panama,2004,90,0.45,5400
Panama,2005,150,0.4504,9000
Panama,2006,150,0.4507,9000
Panama,2007,150,0.4507,9000
Panama,2008,100,0.4501,6000
Panama,2009,100,0.45,6000
Panama,2010,125,0.4488,7500
Panama,2011,100,0.4481,6000
Panama,2012,100,0.4464,6000
Panama,2013,95,0.4467,5700
Panama,2014,120,0.4494,7200
Panama,2015,85,0.4489,5100
Panama,2016,95,0.45,5700
Panama,2017,75,0.4515,4500
Panama,2018,75,0.4514,4500
Panama,2019,75,0.452,4500
Panama,2020,75,0.4519,4500
Panama,2021,75,0.4526,4500
Panama,2022,85,0.4509,5100
Panama,2023,75,0.4511,4500
Papua New Guinea,2000,1041,1.0159,62460
Papua New Guinea,2001,1063,0.9655,63780
Papua New Guinea,2002,1085,0.93,65100
Papua New Guinea,2003,813,0.99,48780
Papua New Guinea,2004,1000,1.0428,60000
Papua New Guinea,2005,1265,1.1705,75900
Papua New Guinea,2006,810,0.9312,48600
Papua New Guinea,2007,970,1.056,58200
Papua New Guinea,2008,1035,1.1215,62100
Papua New Guinea,2009,1085,1.0953,65100
Papua New Guinea,2010,865,1.0565,51900
Papua New Guinea,2011,1400,1.0583,84000
Papua New Guinea,2012,825,1.0672,49500
Papua New Guinea,2013,855,1.0707,51300
Papua New Guinea,2014,810,1.0594,48600
Papua New Guinea,2015,750,1.0582,45000
Papua New Guinea,2016,1115,1.0558,66900
Papua New Guinea,2017,810,1.0546,48600
Papua New Guinea,2018,965,1.0548,57900
Papua New Guinea,2019,825,1.0547,49500
Papua New Guinea,2020,700,1.055,42000
Papua New Guinea,2021,775,1.0556,46500
Papua New Guinea,2022,875,1.0553,52500
Papua New Guinea,2023,900,1.0559,54000
Paraguay,2000,46,0.6992,2760
Paraguay,2001,20,0.7132,1200
Paraguay,2002,26,0.7169,1560
Paraguay,2003,52,0.9971,3120
Paraguay,2004,26,1.0813,1560
Paraguay,2005,35,1.0741,2100
Paraguay,2006,20,1.1829,1200
Peru,2000,2824,0.7246,169440
Peru,2001,2550,0.7155,153000
Peru,2002,2760,0.7404,165600
Peru,2003,2870,0.6961,172200
Peru,2004,3550,0.7842,213000
Peru,2005,2420,0.6255,145200
Peru,2006,4400,0.8498,264000
Peru,2007,2800,0.6974,168000
Peru,2008,4000,0.8212,240000
Peru,2009,3300,0.7106,198000
Peru,2010,4100,0.7568,246000
Peru,2011,5200,0.9032,312000
Peru,2012,4300,0.8638,258000
Peru,2013,4250,0.6414,255000
Peru,2014,2900,0.6139,174000
Peru,2015,3500,0.6644,210000
Peru,2016,4225,0.7234,253500
Peru,2017,4375,0.7953,262500
Peru,2018,4390,0.8548,263400
Peru,2019,3925,0.8292,235500
Peru,2020,3369,0.8198,202140
Peru,2021,4200,0.8471,252000
Peru,2022,3400,0.8533,204000
Peru,2023,4200,0.8559,252000
Philippines,2000,745,0.7855,44700
Philippines,2001,735,0.8295,44100
Philippines,2002,726,0.8087,43560
Philippines,2003,690,0.8073,41400
Philippines,2004,700,0.784,42000
Philippines,2005,710,0.8271,42600
Philippines,2006,705,0.8257,42300
Philippines,2007,460,0.7895,27600
Philippines,2008,360,0.7904,21600
Philippines,2009,245,0.7863,14700
Philippines,2010,460,0.7787,27600
Philippines,2011,455,0.74,27300
Philippines,2012,455,0.7412,27300
Philippines,2013,450,0.6752,27000
Philippines,2014,475,0.6424,28500
Philippines,2015,425,0.636,25500
Philippines,2016,475,0.5993,28500
Philippines,2017,450,0.5501,27000
Philippines,2018,425,0.5321,25500
Philippines,2019,450,0.536,27000
Philippines,2020,425,0.5354,25500
Philippines,2021,450,0.5385,27000
Philippines,2022,475,0.534,28500
Philippines,2023,450,0.5315,27000
Rwanda,2000,273,0.6999,16380
Rwanda,2001,296,0.7064,17760
Rwanda,2002,320,0.6938,19200
Rwanda,2003,266,0.6903,15960
Rwanda,2004,317,0.6902,19020
Rwanda,2005,340,0.6277,20400
Rwanda,2006,400,0.7227,24000
Rwanda,2007,230,0.4606,13800
Rwanda,2008,340,0.4831,20400
Rwanda,2009,240,0.672,14400
Rwanda,2010,317,0.5686,19020
Rwanda,2011,245,0.5838,14700
Rwanda,2012,260,0.4788,15600
Rwanda,2013,250,0.3526,15000
Rwanda,2014,240,0.2976,14400
Rwanda,2015,300,0.6143,18000
Rwanda,2016,230,0.824,13800
Rwanda,2017,275,1.0731,16500
Rwanda,2018,275,1.6506,16500
Rwanda,2019,350,1.3475,21000
Rwanda,2020,300,1.0513,18000
Rwanda,2021,270,1.0685,16200
Rwanda,2022,260,0.4796,15600
Rwanda,2023,250,1.3405,15000
Sierra Leone,2000,53,1.6667,3180
Sierra Leone,2001,79,1.6841,4740
Sierra Leone,2002,42,1.6748,2520
Sierra Leone,2003,34,1.7,2040
Sierra Leone,2004,15,1.6364,900
Sierra Leone,2005,60,1.7857,3600
Sierra Leone,2006,31,1.7521,1860
Sierra Leone,2007,42,1.7213,2520
Sierra Leone,2008,87,1.7377,5220
Sierra Leone,2009,90,1.76,5400
Sierra Leone,2010,45,2.0142,2700
Sierra Leone,2011,90,2.1815,5400
Sierra Leone,2012,70,2.5,4200
Sierra Leone,2013,45,2.4828,2700
Sierra Leone,2014,65,0.1845,3900
Sierra Leone,2015,60,0.231,3600
Sierra Leone,2016,60,2.0445,3600
Sierra Leone,2017,65,1.9076,3900
Sierra Leone,2018,50,1.7576,3000
Sierra Leone,2019,65,1.684,3900
Sierra Leone,2020,75,1.6115,4500
Sierra Leone,2021,40,1.573,2400
Sierra Leone,2022,50,1.5356,3000
Sierra Leone,2023,60,1.4523,3600
Sri Lanka,2000,43,0.6276,2580
Sri Lanka,2001,32,0.6753,1920
Sri Lanka,2002,34,0.6599,2040
Sri Lanka,2003,37,0.772,2220
Sri Lanka,2004,32,0.6467,1920
Sri Lanka,2005,34,0.6407,2040
Sri Lanka,2006,32,0.6094,1920
Sri Lanka,2007,35,0.5949,2100
Sri Lanka,2008,35,0.62,2100
Tanzania,2000,809,0.4157,48540
Tanzania,2001,624,0.415,37440
Tanzania,2002,824,0.4411,49440
Tanzania,2003,612,0.3822,36720
Tanzania,2004,1070,0.3622,64200
Tanzania,2005,610,0.4047,36600
Tanzania,2006,915,0.1515,54900
Tanzania,2007,740,0.2304,44400
Tanzania,2008,1150,0.2052,69000
Tanzania,2009,600,0.2536,36000
Tanzania,2010,1050,0.179,63000
Tanzania,2011,565,0.5199,33900
Tanzania,2012,1180,0.5199,70800
Tanzania,2013,800,0.3057,48000
Tanzania,2014,1150,0.306,69000
Tanzania,2015,1100,0.1924,66000
Tanzania,2016,1050,0.2401,63000
Tanzania,2017,1150,0.2763,69000
Tanzania,2018,1300,0.2818,78000
Tanzania,2019,1250,0.2772,75000
Tanzania,2020,1350,0.2666,81000
Tanzania,2021,1290,0.2564,77400
Tanzania,2022,1120,0.2492,67200
Tanzania,2023,1350,0.2433,81000
Thailand,2000,1692,1.2011,101520
Thailand,2001,715,1.2434,42900
Thailand,2002,732,0.7604,43920
Thailand,2003,827,0.7652,49620
Thailand,2004,884,0.8708,53040
Thailand,2005,1000,0.8578,60000
Thailand,2006,850,0.6815,51000
Thailand,2007,900,0.8192,54000
Thailand,2008,800,0.8111,48000
Thailand,2009,900,0.9634,54000
Thailand,2010,1000,0.8511,60000
Thailand,2011,1000,0.8206,60000
Thailand,2012,1000,0.8465,60000
Thailand,2013,1000,0.7871,60000
Thailand,2014,1000,0.9089,60000
Thailand,2015,700,0.6485,42000
Thailand,2016,800,0.7012,48000
Thailand,2017,700,0.6399,42000
Thailand,2018,650,0.5725,39000
Thailand,2019,700,0.718,42000
Thailand,2020,600,0.6254,36000
Thailand,2021,650,0.595,39000
Thailand,2022,700,0.5763,42000
Thailand,2023,750,0.5077,45000
Togo,2000,197,0.3108,11820
Togo,2001,112,0.3073,6720
Togo,2002,68,0.3038,4080
Togo,2003,144,0.275,8640
Togo,2004,166,0.31,9960
Togo,2005,140,0.2571,8400
Togo,2006,180,0.2618,10800
Togo,2007,255,0.2768,15300
Togo,2008,185,0.3099,11100
Togo,2009,436,0.39,26160
Togo,2010,615,0.3369,36900
Togo,2011,560,0.3091,33600
Togo,2012,200,0.3206,12000
Togo,2013,165,0.3221,9900
Togo,2014,175,0.357,10500
Togo,2015,120,0.3669,7200
Togo,2016,80,0.3818,4800
Togo,2017,130,0.448,7800
Togo,2018,95,0.4547,5700
Togo,2019,100,0.4993,6000
Togo,2020,85,0.5155,5100
Togo,2021,80,0.529,4800
Togo,2022,100,0.5661,6000
Togo,2023,80,0.5253,4800
Trinidad and Tobago,2000,14,0.158,840
Trinidad and Tobago,2001,16,0.1624,960
Trinidad and Tobago,2002,16,0.1544,960
Trinidad and Tobago,2003,16,0.1491,960
Trinidad and Tobago,2004,15,0.1493,900
Trinidad and Tobago,2005,15,0.15,900
Trinidad and Tobago,2006,12,0.1493,720
Trinidad and Tobago,2007,2,0.1486,120
Trinidad and Tobago,2008,2,0.1479,120
Uganda,2000,3097,0.4767,185820
Uganda,2001,3265,0.7478,195900
Uganda,2002,2756,0.9634,165360
Uganda,2003,2745,0.5715,164700
Uganda,2004,2694,0.6442,161640
Uganda,2005,2175,0.6011,130500
Uganda,2006,2905,0.606,174300
Uganda,2007,3490,0.6152,209400
Uganda,2008,3260,0.6137,195600
Uganda,2009,2870,0.6121,172200
Uganda,2010,3212,0.6125,192720
Uganda,2011,3075,0.6035,184500
Uganda,2012,3600,0.5873,216000
Uganda,2013,3850,0.5756,231000
Uganda,2014,3500,0.5831,210000
Uganda,2015,3550,0.5304,213000
Uganda,2016,4875,0.5597,292500
Uganda,2017,4600,0.5737,276000
Uganda,2018,4650,0.5717,279000
Uganda,2019,5475,0.5798,328500
Uganda,2020,6630,0.5692,397800
Uganda,2021,6050,0.5611,363000
Uganda,2022,6565,0.5557,393900
Uganda,2023,6850,0.5508,411000
United States,2000,183,1.4353,10980
United States,2001,163,1.4235,9780
United States,2002,163,1.4226,9780
United States,2003,186,1.5732,11160
United States,2004,140,1.0822,8400
United States,2005,161,1.5063,9660
United States,2006,152,1.2984,9120
United States,2007,136,1.3127,8160
United States,2008,125,1.549,7500
United States,2009,53,1.549,3180
United States,2010,53,1.5647,3180
United States,2011,46,1.3518,2760
United States,2012,42,1.2859,2520
United States,2013,51,0.9569,3060
United States,2014,45,0.9068,2700
United States,2015,40,0.8566,2400
United States,2016,33,0.6926,1980
United States,2017,32,0.756,1920
United States,2018,54,0.8676,3240
United States,2019,39,0.8309,2340
United States,2020,33,0.7122,1980
United States,2021,38,1.5723,2280
United States,2022,40,1.2386,2400
United States,2023,50,1.0421,3000
Venezuela,2000,1027,0.3458,61620
Venezuela,2001,1065,0.3928,63900
Venezuela,2002,920,0.3548,55200
Venezuela,2003,825,0.3161,49500
Venezuela,2004,800,0.3442,48000
Venezuela,2005,820,0.3133,49200
Venezuela,2006,862,0.3929,51720
Venezuela,2007,996,0.381,59760
Venezuela,2008,1000,0.3863,60000
Venezuela,2009,725,0.3416,43500
Venezuela,2010,625,0.3764,37500
Venezuela,2011,700,0.3705,42000
Venezuela,2012,730,0.3566,43800
Venezuela,2013,700,0.3638,42000
Venezuela,2014,460,0.3299,27600
Venezuela,2015,500,0.323,30000
Venezuela,2016,530,0.3157,31800
Venezuela,2017,575,0.3467,34500
Venezuela,2018,585,0.3891,35100
Venezuela,2019,550,0.35,33000
Venezuela,2020,480,0.3432,28800
Venezuela,2021,500,0.3034,30000
Venezuela,2022,500,0.3555,30000
Venezuela,2023,500,0.3515,30000
Vietnam,2000,15333,1.6827,919980
Vietnam,2001,12833,1.7753,769980
Vietnam,2002,11167,1.4203,670020
Vietnam,2003,15000,1.6518,900000
Vietnam,2004,14500,1.9073,870000
Vietnam,2005,16335,1.7184,980100
Vietnam,2006,19500,2.0391,1170000
Vietnam,2007,18000,2.5588,1080000
Vietnam,2008,16980,2.1108,1018800
Vietnam,2009,18500,2.0851,1110000
Vietnam,2010,19415,2.16,1164900
Vietnam,2011,26000,2.3471,1560000
Vietnam,2012,26500,2.2013,1590000
Vietnam,2013,29833,2.282,1789980
Vietnam,2014,27400,2.3877,1644000
Vietnam,2015,28930,2.4469,1735800
Vietnam,2016,26700,2.4445,1602000
Vietnam,2017,29300,2.5487,1758000
Vietnam,2018,30400,2.6117,1824000
Vietnam,2019,31300,2.7027,1878000
Vietnam,2020,29000,2.766,1740000
Vietnam,2021,31580,2.8246,1894800
Vietnam,2022,27200,2.979,1632000
Vietnam,2023,27500,2.9339,1650000
Yemen,2000,189,0.3398,11340
Yemen,2001,198,0.3539,11880
Yemen,2002,192,0.3428,11520
Yemen,2003,193,0.3448,11580
Yemen,2004,171,0.3619,10260
Yemen,2005,189,0.3932,11340
Yemen,2006,200,0.536,12000
Yemen,2007,150,0.5468,9000
Yemen,2008,150,0.5479,9000
Yemen,2009,150,0.5486,9000
Yemen,2010,145,0.5481,8700
Yemen,2011,135,0.5533,8100
Yemen,2012,140,0.5667,8400
Yemen,2013,135,0.57,8100
Yemen,2014,130,0.5789,7800
Zambia,2000,94,0.9523,5640
Zambia,2001,100,0.9946,6000
Zambia,2002,119,0.9929,7140
Zambia,2003,100,1.0071,6000
Zambia,2004,110,1.0693,6600
Zambia,2005,103,1.0316,6180
Zambia,2006,56,1.0313,3360
Zambia,2007,60,1.0227,3600
Zambia,2008,39,1.0288,2340
Zambia,2009,27,1.0349,1620
Zimbabwe,2000,109,1.2728,6540
Zimbabwe,2001,121,1.2544,7260
Zimbabwe,2002,110,1.2352,6600
Zimbabwe,2003,92,1.2153,5520
Zimbabwe,2004,120,1.1949,7200
Zimbabwe,2005,66,1.2138,3960
Zimbabwe,2006,45,1.2031,2700
Zimbabwe,2007,31,1.1925,1860
Zimbabwe,2008,22,1.182,1320
